weekday,hour,minute,P_base_MW
6,14,0,0.10079226297882084
6,14,15,0.09767625569022069
6,14,30,0.08225799628677664
6,14,45,0.09887746109202133
6,15,0,0.0754159154446874
6,15,15,0.07973296934866764
6,15,30,0.09762412512228401
6,15,45,0.1196270757380943
6,16,0,0.08842848994304685
6,16,15,0.13339487717084017
6,16,30,0.10140725555010416
6,16,45,0.08634045220941712
6,17,0,0.07329223386403838
6,17,15,0.1290113292129671
6,17,30,0.09017587483800094
6,17,45,0.048605516150750656
6,18,0,0.05466440218762494
6,18,15,0.040618356195929434
6,18,30,0.03848609746530506
6,18,45,0.03667457801929877
6,19,0,0.04681116982746933
6,19,15,0.05257010292522513
6,19,30,0.09752590341329294
6,19,45,0.0901139804523902
6,20,0,0.09060252797720465
6,20,15,0.11190471355785349
6,20,30,0.11512467620273044
6,20,45,0.08571327343543092
6,21,0,0.16302962178029295
6,21,15,0.1450668353680115
6,21,30,0.11788072797404996
6,21,45,0.08978736269976764
6,22,0,0.11583873394901344
6,22,15,0.13577118862917728
6,22,30,0.0796317857299539
6,22,45,0.07245047749050552
6,23,0,0.09435718584179999
6,23,15,0.12216178834204153
6,23,30,0.14543198246797429
6,23,45,0.16334358930914258
