t,sigma_base,D_plus,D_minus,z_dis,z_ch,frac_up,frac_dn,frac_sym,sigma_eff_est
61,0.0,0.03984560891592719,0.03984560891592719,8.099885246003944e-10,4.7073143949746574e-09,2.0328175340711725e-08,1.1813884950050386e-07,6.923351242060779e-08,0.0
62,0.0,0.03989727675442778,0.03989727675442778,8.099807306328447e-10,4.707312002572661e-09,2.0301654561998483e-08,1.1798579716472117e-07,6.914372586335983e-08,0.0
63,0.0,0.03997338490175788,0.03997338490175788,8.099723877004825e-10,4.707311154034563e-09,2.0262792097570477e-08,1.1776113445492962e-07,6.901196327625005e-08,0.0
64,0.0,0.039915511598273036,0.039915511598273036,3.189014112556611e-09,0.03991551027927371,7.98941059468867e-08,0.9999999669552193,0.5000000234246627,0.0
65,0.0,0.03989727675442778,0.03989727675442778,3.188880591841777e-09,0.0398972754353523,7.992727452226114e-08,0.9999999669382076,0.5000000234327411,0.0
66,0.0,0.039973243125974466,0.039973243125974466,3.188749820118428e-09,0.03997324180687099,7.977210680827621e-08,0.999999967000339,0.5000000233862228,0.0
67,0.0,0.04003549967033232,0.04003549967033232,3.188626348050771e-09,0.04003549835117455,7.964497444286058e-08,0.9999999670502984,0.5000000233476364,0.0
68,0.0,0.04003549967033232,0.04003549967033232,0.040035497595727575,0.040035499090139544,0.9999999481808705,0.9999999855080421,0.9999999668444564,0.0
69,0.0,0.04019824126752549,0.04019824126752549,0.04019823919290846,0.040198240687332173,0.9999999483903532,0.999999985566699,0.9999999669785261,0.0
70,0.0,0.0404726658414405,0.0404726658414405,0.040472663766830105,0.040472665261241055,0.9999999487404561,0.9999999856644125,0.9999999672024342,0.0
71,0.0,0.04069364353555609,0.04069364353555609,0.04069364146093533,0.04069364295535221,0.9999999490185547,0.9999999857421497,0.9999999673803521,0.0
72,0.0,0.04050278964073223,0.04050278964073223,0.04050278264621539,0.04050278887401754,0.9999998273077755,0.9999999810700769,0.9999999041889263,0.0
73,0.0,0.04019824126752549,0.04019824126752549,0.040198234268481146,0.04019824050085454,0.9999998258868019,0.999999980927749,0.9999999034072755,0.0
74,0.0,0.04005725380861522,0.04005725380861522,0.040057246786439585,0.040057253041964315,0.9999998246965289,0.9999999808611217,0.9999999027788253,0.0
75,0.0,0.04003549967033232,0.04003549967033232,0.04003549263082989,0.04003549890367451,0.9999998241684882,0.9999999808505499,0.999999902509519,0.0
76,0.0,0.040102260156836544,0.040102260156836544,1.9004147404439128e-09,0.04010225823491227,4.738921779000863e-08,0.9999999520744152,0.49999999973181647,0.0
77,0.0,0.0403570253025493,0.0403570253025493,1.897423619747729e-09,0.040357023380074325,4.701594345775211e-08,0.9999999523633131,0.49999999968962827,0.0
78,0.0,0.04069364353555609,0.04069364353555609,1.8937406897673973e-09,0.04069364161215391,4.653652328066276e-08,0.9999999527345793,0.4999999996355513,0.0
79,0.0,0.04093797007424942,0.04093797007424942,1.8892464648177507e-09,0.04093796814717499,4.614900204849469e-08,0.9999999529269666,0.49999999953798435,0.0
80,0.0,0.04083042562526877,0.04083042562526877,6.572450282848546e-10,2.2898617937735683e-09,1.609694286111249e-08,5.608224158105369e-08,3.6089592221083093e-08,0.0
81,0.0,0.04086580362581832,0.04086580362581832,6.820475842619965e-10,2.69536499137772e-09,1.6689934462247808e-08,6.595649056745416e-08,4.1323212514850984e-08,0.0
82,0.0,0.04104972714706134,0.04104972714706134,7.14807878948505e-10,3.2262292035777403e-09,1.741321876239746e-08,7.859319483463847e-08,4.8003206798517966e-08,0.0
83,0.0,0.04120523011847646,0.04120523011847646,7.57681293506644e-10,4.588056114872523e-09,1.8387988401668918e-08,1.1134645047923745e-07,6.486721944045318e-08,0.0
84,0.0,0.041012008819234926,0.041012008819234926,4.782332179569174e-10,9.887921273500037e-10,1.1660809400114599e-08,2.4109819436258705e-08,1.7885314418186653e-08,0.0
