timestamp,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,lambda0_mw,lambda_plus,lambda_minus,chi0_mw,chi_minus
2023-01-10 12:00:00,-1.0,-1.0,0.0,0.0,-2.008295259613545e-10,0.0,0.0,0.0,0.0
2023-01-10 12:15:00,-1.0,-1.0,0.0,0.0,-1.9762324001908918e-10,0.0,0.0,0.0,0.0
2023-01-10 12:30:00,-1.0,-1.0,0.0,0.0,-1.9437936849930804e-10,0.0,0.0,0.0,0.0
2023-01-10 12:45:00,-1.0,-1.0,0.0,0.0,-1.9109887774240766e-10,0.0,0.0,0.0,0.0
2023-01-10 13:00:00,-1.0,-1.0,0.0,0.0,-1.8778103900131548e-10,0.0,0.0,0.0,0.0
2023-01-10 13:15:00,-1.0,-1.0,0.0,0.0,-1.8442783074530835e-10,0.0,0.0,0.0,0.0
2023-01-10 13:30:00,-1.0,-1.0,0.0,0.0,-1.8104128434807028e-10,0.0,0.0,0.0,0.0
2023-01-10 13:45:00,-1.0,-1.0,0.0,0.0,-1.7762346194678088e-10,0.0,0.0,0.0,0.0
2023-01-10 14:00:00,-1.0,-1.0,0.0,0.0,-1.7417643131451235e-10,0.0,0.0,0.0,0.0
2023-01-10 14:15:00,-1.0,-1.0,0.0,0.0,-1.7070223767478443e-10,0.0,0.0,0.0,0.0
2023-01-10 14:30:00,-1.0,-1.0,0.0,0.0,-1.672028725902563e-10,0.0,0.0,0.0,0.0
2023-01-10 14:45:00,-1.0,-1.0,0.0,0.0,-1.6368024033647126e-10,0.0,0.0,0.0,0.0
2023-01-10 15:00:00,-1.0,-1.0,0.0,0.0,-1.6013612255887776e-10,0.0,0.0,0.0,0.0
2023-01-10 15:15:00,-1.0,-1.0,0.0,0.0,-1.5657214249442228e-10,0.0,0.0,0.0,0.0
2023-01-10 15:30:00,-1.0,-1.0,0.0,0.0,-1.5298973065438022e-10,0.0,0.0,0.0,0.0
2023-01-10 15:45:00,-1.0,-1.0,0.0,0.0,-1.4939020398509036e-10,0.0,0.0,0.0,0.0
2023-01-10 16:00:00,-1.0,-1.0,0.0,0.0,-1.4577425277462363e-10,0.0,0.0,0.0,0.0
2023-01-10 16:15:00,-1.0,-1.0,0.0,0.0,-1.421423908979639e-10,0.0,0.0,0.0,0.0
2023-01-10 16:30:00,-1.0,-1.0,0.0,0.0,-1.3849488813251078e-10,0.0,0.0,0.0,0.0
2023-01-10 16:45:00,-1.0,-1.0,0.0,0.0,-1.348317941193714e-10,0.0,0.0,0.0,0.0
2023-01-10 17:00:00,-1.0,-1.0,0.0,0.0,-1.311529951021267e-10,0.0,0.0,0.0,0.0
2023-01-10 17:15:00,-1.0,-1.0,0.0,0.0,-1.2745830169035079e-10,0.0,0.0,0.0,0.0
2023-01-10 17:30:00,-1.0,-1.0,0.0,0.0,-1.2374756846902708e-10,0.0,0.0,0.0,0.0
2023-01-10 17:45:00,-1.0,-1.0,0.0,0.0,-1.203775215641585e-10,0.0,0.0,0.0,0.0
2023-01-10 18:00:00,-1.0,-1.0,0.0,0.0,-1.1883067643778e-10,0.0,0.0,0.0,0.0
2023-01-10 18:15:00,-1.0,-1.0,0.0,0.0,-1.1723798588823594e-10,0.0,0.0,0.0,0.0
2023-01-10 18:30:00,-1.0,-1.0,0.0,0.0,-1.1559760967556796e-10,0.0,0.0,0.0,0.0
2023-01-10 18:45:00,-1.0,-1.0,0.0,0.0,-1.1390986863483943e-10,0.0,0.0,0.0,0.0
2023-01-10 19:00:00,-1.0,-1.0,0.0,0.0,-1.1217302438720367e-10,0.0,0.0,0.0,0.0
2023-01-10 19:15:00,-1.0,-1.0,0.0,0.0,-1.1037765089924899e-10,0.0,0.0,0.0,0.0
2023-01-10 19:30:00,-1.0,-1.0,0.0,0.0,-1.0850864283782115e-10,0.0,0.0,0.0,0.0
2023-01-10 19:45:00,-1.0,-1.0,0.0,0.0,-1.0654243934574112e-10,0.0,0.0,0.0,0.0
2023-01-10 20:00:00,-1.0,-1.0,0.0,0.0,-1.0444374216945219e-10,0.0,0.0,0.0,0.0
2023-01-10 20:15:00,-1.0,-1.0,0.0,0.0,-1.0216215653032731e-10,0.0,0.0,0.0,0.0
2023-01-10 20:30:00,-1.0,-1.0,0.0,0.0,-9.962961450317135e-11,0.0,0.0,0.0,0.0
2023-01-10 20:45:00,-1.0,-1.0,0.0,0.0,-9.676577146365748e-11,0.0,0.0,0.0,0.0
2023-01-10 21:00:00,-1.0,-1.0,0.0,0.0,-9.347763013000048e-11,0.0,0.0,0.0,0.0
2023-01-10 21:15:00,-1.0,-1.0,0.0,0.0,-8.966478924708399e-11,0.0,0.0,0.0,0.0
2023-01-10 21:30:00,-1.0,-1.0,0.0,0.0,-8.523602604226575e-11,0.0,0.0,0.0,0.0
2023-01-10 21:45:00,-1.0,-1.0,0.0,0.0,-8.016344883306459e-11,0.0,0.0,0.0,0.0
2023-01-10 22:00:00,-1.0,-1.0,0.0,0.0,-7.400529312374144e-11,0.0,0.0,0.0,0.0
2023-01-10 22:15:00,-1.0,-1.0,0.0,0.0,-6.575945596810049e-11,0.0,0.0,0.0,0.0
2023-01-10 22:30:00,-1.0,-1.0,0.0,0.0,-5.6185195193230406e-11,0.0,0.0,0.0,0.0
2023-01-10 22:45:00,-1.0,-1.0,0.0,0.0,-4.666390422119275e-11,0.0,0.0,0.0,0.0
2023-01-10 23:00:00,-1.0,-1.0,0.0,0.0,-3.920519058603326e-11,0.0,0.0,0.0,0.0
2023-01-10 23:15:00,-1.0,-1.0,0.0,0.0,-3.5321670379792154e-11,0.0,0.0,0.0,0.0
2023-01-10 23:30:00,-1.0,-1.0,0.0,0.0,-3.4005769251821283e-11,0.0,0.0,0.0,0.0
2023-01-10 23:45:00,-1.0,-1.0,0.0,0.0,-7.64041162897521e-12,0.0,0.0,0.0,0.0
